iter	Passed	Remaining
0	1	101
1	1	68
2	1	57
3	2	48
4	2	44
5	2	42
6	3	40
7	3	39
8	3	38
9	4	37
10	4	37
11	5	36
12	5	35
13	5	35
14	6	35
15	6	34
16	7	34
17	7	34
18	7	33
19	8	33
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	28
33	14	27
34	14	27
35	15	27
36	15	26
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	21
51	22	20
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	38	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	44	1
97	44	0
98	45	0
99	45	0
